,Title,Date,State,Total Deaths,full place name
0,Army Barracks Attack Ahead of Goodluck Jonathan's Inauguration,5/29/11,Bauchi,20,"Bauchi, Bauchi, Nigeria"
1,Kaduna,5/29/11,Kaduna,6,"Zaria, Kaduna, Nigeria"
2,Morning Attack in Zaria,5/30/11,Kaduna,2,"Zaria, Kaduna, Nigeria"
3,Shehu of Borno's Brother Killed,5/30/11,Borno,1,"Maiduguri, Borno, Nigeria"
4,Attempted Attack on Government Vaccine Warehouse,6/2/11,Borno,0,"Maiduguri, Borno, Nigeria"
5,Militants Kill Muslim Cleric Ibrahim Burkuti,6/6/11,Borno,1,"Biu, Borno, Nigeria"
6,Bomb Blasts Outside St. Patrick's Catholic Church,6/7/11,Borno,5,"Maiduguri, Borno, Nigeria"
7,Bombing of Kano Motor Park,6/7/11,Borno,0,"Maiduguri, Borno, Nigeria"
8,David Usman and  Shot Dead,6/7/11,Borno,2,"Maiduguri, Borno, Nigeria"
9,"Explosion, Firefight at Gwange Police Station",6/7/11,Borno,3,"Maiduguri, Borno, Nigeria"
10,Explosions at Dandal Police Station,6/7/11,Borno,0,"Maiduguri, Borno, Nigeria"
11,Attack on Church in Damboa,6/16/11,Borno,4,"Damboa, Borno, Nigeria"
12,Attack on Nigeria's Police HQ,6/16/11,Federal Capital Territory,2,"Abuja Municipal Area Council (AMAC), Federal Capital Territory, Nigeria"
13,Bank Assault in Katsina,6/20/11,Katsina,0,"Kankara, Katsina, Nigeria"
14,Gunmen Kill Police Officer in Maiduguri,6/20/11,Borno,1,"Maiduguri, Borno, Nigeria"
15,Militants Attack Police Station in Katsina,6/20/11,Katsina,0,"Kankara, Katsina, Nigeria"
16,Miltants Fire on Civilians in Maiduguri,6/20/11,Borno,2,"Maiduguri, Borno, Nigeria"
17,"Suspected Militants Carry Out Sophisticated Attack on Bank, Police Station in Kankara",6/21/11,Katsina,7,"Kankara, Katsina, Nigeria"
18,Suspected Pirates Ambush Police Officers in Bayelsa,6/21/11,Bayelsa,2,"Yenegoa, Bayelsa, Nigeria"
19,Bomb Explosion at Maiduguri Beer Parlor,6/26/11,Borno,25,"Maiduguri, Borno, Nigeria"
20,Bomb Attack at Maiduguri Custom House,6/27/11,Borno,5,"Maiduguri, Borno, Nigeria"
21,Attack on Beer Bar in Maiduguri,7/3/11,Borno,10,"Maiduguri, Borno, Nigeria"
22,Mustafa BArmed Actorsle Assassinated in Maiduguri,7/3/11,Borno,1,"Maiduguri, Borno, Nigeria"
23,Suspected Militants Kill Four and Steal N21.5 Million in Biu,7/4/11,Borno,4,"Biu, Borno, Nigeria"
24,Toro Police Station Attack,7/5/11,Bauchi,0,"Toro, Bauchi, Nigeria"
25,Boko Haram Attacks Military Patrol in Maiduguri,7/6/11,Borno,0,"Maiduguri, Borno, Nigeria"
26,Customs Officer Killed,7/6/11,Borno,1,"Maiduguri, Borno, Nigeria"
27,Militants Kill Detective,7/6/11,Borno,1,"Maiduguri, Borno, Nigeria"
28,Militants Target Police Officer,7/6/11,Borno,1,"Maiduguri, Borno, Nigeria"
29,Police Brutality After Bomb Blasts in Maiduguri,7/9/11,Borno,41,"Maiduguri, Borno, Nigeria"
30,Attack on JTF Forces in Maiduguri,7/10/11,Borno,11,"Maiduguri, Borno, Nigeria"
31,Bomb Explosion at Hotel in Kaduna,7/10/11,Kaduna,0,"Kaduna North, Kaduna, Nigeria"
32,Bomb Kills At Least Three Churchgoers in Suleja,7/10/11,Niger,4,"Suleja, Niger, Nigeria"
33,Niger State Explosion at Church,7/11/11,Niger,0,"Suleja, Niger, Nigeria"
34,Three Dead in Baga Road Blast,7/12/11,Borno,5,"Maiduguri, Borno, Nigeria"
35,Violence Following Protests in Eket,7/18/11,Akwa Ibom,3,"Eket, Akwa Ibom, Nigeria"
36,Renewed Violence in Jos,7/19/11,Plateau,5,"Jos South, Plateau, Nigeria"
37,Bombs Explode in Maiduguri,7/22/11,Borno,0,"Maiduguri, Borno, Nigeria"
38,Ex-Militants Killed in Bayelsa,7/23/11,Bayelsa,5,"Yenegoa, Bayelsa, Nigeria"
39,Explosion Near the Shehu of Borno's Palace in Maiduguri,7/23/11,Borno,0,"Maiduguri, Borno, Nigeria"
40,District Head Assassinated in Maiduguri,7/26/11,Borno,2,"Maiduguri, Borno, Nigeria"
41,Jos Bomb Attacks,8/1/11,Plateau,0,"Jos South, Plateau, Nigeria"
42,"Police Kill Three, Injure Twenty Alleged Criminals in Anambra",8/1/11,Anambra,3,"Idemili south, Anambra, Nigeria"
43,Bomb Attack in Maiduguri,8/2/11,Borno,1,"Maiduguri, Borno, Nigeria"
44,MASSOB Shoot-Out in Onitsha,8/3/11,Anambra,6,"Onitsha North, Anambra, Nigeria"
45,Explosion on Baga Road in Maiduguri,8/4/11,Borno,2,"Maiduguri, Borno, Nigeria"
46,JTF Soldier Kills Girl in Maiduguri,8/6/11,Borno,1,"Maiduguri, Borno, Nigeria"
47,Miltants Attack Police Convoy in Bauchi,8/6/11,Bauchi,0,"Bauchi, Bauchi, Nigeria"
48,Police Wounded in Bauchi Explosion,8/7/11,Bauchi,0,"Bauchi, Bauchi, Nigeria"
49,Raid in Bisichi,8/8/11,Plateau,2,"Jos South, Plateau, Nigeria"
50,Teacher Gunned Down in Maiduguri,8/8/11,Borno,1,"Maiduguri, Borno, Nigeria"
51,Violence in Bisichi,8/8/11,Plateau,2,"Jos South, Plateau, Nigeria"
52,Abraka University Violence,8/9/11,Delta,2,"Asaba, Delta, Nigeria"
53,"Arrests, Clashes in Biu",8/9/11,Borno,1,"Biu, Borno, Nigeria"
54,Attack on Maiduguri Bank,8/9/11,Borno,2,"Maiduguri, Borno, Nigeria"
55,Attack on Maiduguri Police Station,8/9/11,Borno,0,"Maiduguri, Borno, Nigeria"
56,Chevron Flow Station Explosion in Delta State,8/11/11,Delta,0,"Warri North, Delta, Nigeria"
57,Muslim Cleric Assassinated in Ngala,8/12/11,Borno,1,"Ngala, Borno, Nigeria"
58,Five Die from Excessive Use of Force in Anambra,8/13/11,Anambra,5,"Anaocha, Anambra, Nigeria"
59,Jos Reprisal Killings,8/14/11,Plateau,15,"Jos South, Plateau, Nigeria"
60,Attacks in Heipang and Foron,8/15/11,Plateau,15,"Jos South, Plateau, Nigeria"
61,Suicide Bomber Dies in Unsuccessful Maiduguri Attack,8/15/11,Borno,1,"Maiduguri, Borno, Nigeria"
62,Bank Seige in Gamawa,8/16/11,Bauchi,0,"Gamawa, Bauchi, Nigeria"
63,Police Station Attacked,8/16/11,Borno,2,"Maiduguri, Borno, Nigeria"
64,Attack in Jos,8/18/11,Plateau,2,"Jos South, Plateau, Nigeria"
65,Suspected Boko Haram Members Kill Policemen,8/19/11,Borno,4,"Maiduguri, Borno, Nigeria"
66,Jos Violence,8/20/11,Plateau,4,"Jos South, Plateau, Nigeria"
67,"Police, Bank Attacks in Gombi",8/25/11,Adamawa,16,", Adamawa, Nigeria"
68,Attack on UN Headquarters in Abuja,8/26/11,Federal Capital Territory,23,"Federal Capital Territory Municipal Area Council (AMAC), Federal Capital Territory, Nigeria"
69,Renewed Jos Violence,8/29/11,Plateau,20,"Jos South, Plateau, Nigeria"
70,Religious Violence in Jos,9/1/11,Plateau,42,"Jos South, Plateau, Nigeria"
71,Attacks Near Jos Leave Four Dead,9/4/11,Plateau,4,"Jos South, Plateau, Nigeria"
72,Gunmen Shot Muslim Cleric Dead in Maiduguri,9/4/11,Borno,1,"Maiduguri, Borno, Nigeria"
73,Seven Die in Dabwak,9/4/11,Plateau,8,"Jos North, Plateau, Nigeria"
74,Tahu Violence Leaves Eight Dead,9/4/11,Plateau,8,"Barkin Ladi, Plateau, Nigeria"
75,Explosion in Maiduguri,9/6/11,Borno,0,"Maiduguri, Borno, Nigeria"
76,Nine Murdered in Jos Attack,9/9/11,Plateau,9,"Barkin Ladi, Plateau, Nigeria"
77,Three Murdered in Another Jos Attack,9/9/11,Plateau,3,"Barkin Ladi, Plateau, Nigeria"
78,Fifteen Dead in Vwang Attack,9/10/11,Plateau,15,"Jos South, Plateau, Nigeria"
79,Explosions in Jos,9/11/11,Plateau,0,"Jos South, Plateau, Nigeria"
80,Seven Die in Misau,9/12/11,Bauchi,7,"Misau, Bauchi, Nigeria"
81,Four Dead in Maiduguri Shooting,9/13/11,Borno,4,"Maiduguri, Borno, Nigeria"
82,Babakura Fugu Killed in Maiduguri,9/17/11,Borno,1,"Maiduguri, Borno, Nigeria"
83,Four Killed in Bitaro,9/18/11,Kaduna,4,"Jaba, Kaduna, Nigeria"
84,Nasarawa Priest Killed,9/23/11,Nasarawa,1,"Wamba, Nasarawa, Nigeria"
85,"Gunmen Kill Beer Distributor, Wife at Zuba",9/29/11,Federal Capital Territory,2,", Federal Capital Territory, Nigeria"
86,Bombing and Shootout in Maiduguri,10/1/11,Borno,3,"Maiduguri, Borno, Nigeria"
87,Gunmen Kill Two During Maiduguri Attack,10/1/11,Borno,2,"Maiduguri, Borno, Nigeria"
88,Attacks in Zamfara Leave Nineteen Dead,10/2/11,Zamfara,19,", Zamfara, Nigeria"
89,Gunmen Murder Three in Maiduguri,10/3/11,Borno,3,"Maiduguri, Borno, Nigeria"
90,Tanjol Violence Leaves Two Dead,10/4/11,Plateau,2,", Plateau, Nigeria"
91,Two Suspected Boko Haram Members Killed,10/5/11,Borno,2,"Maiduguri, Borno, Nigeria"
92,Enugu PDP Chief Assassinated,10/7/11,Enugu,1,"Enugu South, Enugu, Nigeria"
93,Confusion Leads to Death of Two Ex- Massob Members in Onitsha,10/8/11,Anambra,2,"Onitsha North, Anambra, Nigeria"
94,Niger LGA Elections Leave One Dead,10/8/11,Niger,1,"Kontagora, Niger, Nigeria"
95,"Suspected Boko Haram Members Rob Bank, Murder Officer in Damboa",10/12/11,Borno,1,"Damboa, Borno, Nigeria"
96,Prison Guard Killed by Suspected Militants in Maiduguri,10/13/11,Borno,1,"Maiduguri, Borno, Nigeria"
97,Borno Vigilante Head Killed,10/15/11,Borno,1,"Maiduguri, Borno, Nigeria"
98,Soldier Killed in Jos Machete Attack,10/15/11,Plateau,1,"Jos, Plateau, Nigeria"
99,Two Civilians Found Dead After Suspected Police Brutality Near Jos,10/15/11,Plateau,2,", Plateau, Nigeria"
100,Gombe Police Station Blast Kills Three,10/16/11,Gombe,4,"Gombe, Gombe, Nigeria"
101,Gunmen Kill MP in Maiduguri,10/16/11,Borno,1,"Maiduguri, Borno, Nigeria"
102,"Fifteen Die in Attack, Backlash in Central Nigerian Town",10/17/11,Benue,15,"Logo, Benue, Nigeria"
103,Businessman Shot and Killed in Maiduguri,10/19/11,Borno,1,"Maiduguri, Borno, Nigeria"
104,Muslim Cleric and His Student Killed in Maiduguri,10/19/11,Borno,2,"Maiduguri, Borno, Nigeria"
105,Prison Wardner and Salon Owner Killed in Maiduguri,10/19/11,Borno,2,"Maiduguri, Borno, Nigeria"
106,"In Bauchi, Two Die Over Football Dispute",10/20/11,Bauchi,2,"Bauchi, Bauchi, Nigeria"
107,Jos Pastor Killed,10/20/11,Plateau,0,"Jos South, Plateau, Nigeria"
108,Police Kill One Wound Nine,10/20/11,Ekiti,1,"Ido, Ekiti, Nigeria"
109,Gunmen Injured Two in Kaduna,10/21/11,Kaduna,0,"Zangon-Kataf, Kaduna, Nigeria"
110,Nigerian Reporter's Death Blamed on Islamic Boko Haram,10/21/11,Borno,1,"Maiduguri, Borno, Nigeria"
111,Ex-NLC Chairman Gunned Down in Osun,10/25/11,Osun,1,"Ifelodun, Osun, Nigeria"
112,Bomb Attack in Maiduguri,10/27/11,Borno,0,"Maiduguri, Borno, Nigeria"
113,Gunmen Murder Borno Cleric,10/29/11,Borno,1,"Maiduguri, Borno, Nigeria"
114,Bomb Blast Destroys Block Industry,10/30/11,Borno,0,"Maiduguri, Borno, Nigeria"
115,Explosion Rocks Maiduguri,10/30/11,Borno,0,"Maiduguri, Borno, Nigeria"
116,Ogun Officials Attacked,10/30/11,Ogun,0,"Abeokuta, Ogun, Nigeria"
117,Lawmaker Escapes Death as Three Die in Nurtw Clash,11/1/11,Ogun,3,"Ifo, Ogun, Nigeria"
118,Police Stray Bullet Kills School Teacher,11/1/11,Kaduna,1,"Zaria, Kaduna, Nigeria"
119,Two Policemen Killed,11/3/11,Lagos,2,"Oshodi-Isolo, Lagos, Nigeria"
120,Gunmen Kill Soldier in Maiduguri,11/4/11,Borno,1,"Maiduguri, Borno, Nigeria"
121,Suicide Bombers Hit Military HQ in Maiduguri,11/4/11,Borno,2,"Maiduguri, Borno, Nigeria"
122,Attacks in Northern Nigeria,11/5/11,Yobe,150,"Damaturu, Yobe, Nigeria"
123,"Gunmen Shoot, Kidnap Traditional Head",11/5/11,Bayelsa,1,"Ogbia, Bayelsa, Nigeria"
124,Gunmen Kill Two Women in Church,11/6/11,Kaduna,2,"Zangon-Kataf, Kaduna, Nigeria"
125,"Village Attacked in Kaduna, One Dead, One Injured",11/6/11,Kaduna,1,"Zangon-Kataf, Kaduna, Nigeria"
126,Attack on Police Station in Mainok,11/9/11,Borno,4,"Kaga, Borno, Nigeria"
127,Government Official's Brother Killed in Borno State,11/9/11,Borno,2,"Kaga, Borno, Nigeria"
128,Suspected Cultists Kill Four in Bayelsa,11/9/11,Bayelsa,4,"Yenegoa, Bayelsa, Nigeria"
129,Government Media Adviser Killed,11/12/11,Benue,1,"Makurdi, Benue, Nigeria"
130,Man Gunned Down Near Shehu of Borno's Palace,11/13/11,Borno,1,"Maiduguri, Borno, Nigeria"
131,Two Wounded in Bomb Blast,11/13/11,Bauchi,0,"Bauchi, Bauchi, Nigeria"
132,Gunmen Kill Student,11/14/11,Borno,1,"Maiduguri, Borno, Nigeria"
133,Bomb Blast as Governor Shettima Returns to Maiduguri,11/15/11,Borno,0,"Maiduguri, Borno, Nigeria"
134,NURTW Crisis Leaves Four Dead,11/15/11,Ogun,20,"Ado-Odo/Ota, Ogun, Nigeria"
135,Policemen Clash with Prostitutes,11/15/11,Lagos,0,"Agege, Lagos, Nigeria"
136,Policewoman Shot Dead in Delta,11/15/11,Delta,1,"Warri South, Delta, Nigeria"
137,"Robbers Kill Five, Abduct Policeman",11/15/11,Lagos,4,"Apapa, Lagos, Nigeria"
138,"Traditional Ruler, Seven Others Killed in Kogi",11/17/11,Kogi,8,"Ibaji, Kogi, Nigeria"
139,"Robbers Kill One, Injure Three",11/18/11,Adamawa,1,"Yola South, Adamawa, Nigeria"
140,Gunmen Attack Delta Church,11/19/11,Delta,0,"Ika South, Delta, Nigeria"
141,Gunmen Kill Four People in Bauchi State Village,11/20/11,Bauchi,4,"Bogoro, Bauchi, Nigeria"
142,"Robbers Bomb Police Station, Kill Two Policemen",11/20/11,Kogi,2,"Kabba/Bunu, Kogi, Nigeria"
143,Three Gunned Down in Plateau State,11/20/11,Plateau,3,"Barkin Ladi, Plateau, Nigeria"
144,Attack on Maiduguri Police Station,11/21/11,Borno,0,"Maiduguri, Borno, Nigeria"
145,Police Violence in Maiduguri,11/21/11,Borno,0,"Maiduguri, Borno, Nigeria"
146,"Protocol Officer, Herbalist Killed",11/21/11,Borno,2,"Maiduguri, Borno, Nigeria"
147,Two Dead in Akwa Ibom,11/21/11,Akwa Ibom,2,"Mkpat Enin, Akwa Ibom, Nigeria"
148,Targeted Killing Leaves One Dead in Delta State,11/22/11,Delta,1,"Ika South, Delta, Nigeria"
149,Jos Attacks Kill Dozens,11/23/11,Plateau,25,"Barkin Ladi, Plateau, Nigeria"
150,Student Dies in Heipang,11/24/11,Plateau,1,"Jos South, Plateau, Nigeria"
151,Militants Launch Attack in Geidam,11/26/11,Yobe,4,"Geidam, Yobe, Nigeria"
152,Violence Among Political Parties in Kogi State,11/29/11,Kogi,0,"Igalamela-Odolu, Kogi, Nigeria"
153,Bomb Explodes in Maiduguri,12/1/11,Borno,0,"Maiduguri, Borno, Nigeria"
154,Mosque Attack in Maiduguri,12/1/11,Borno,2,"Maiduguri, Borno, Nigeria"
155,Tree Bomb Targets JTF Soldiers in Maiduguri,12/1/11,Borno,0,"Maiduguri, Borno, Nigeria"
156,Man Killed in Ondo,12/3/11,Ondo,1,"Ondo East, Ondo, Nigeria"
157,Policeman Assassinated in Jalingo,12/3/11,Taraba,1,"Jalingo, Taraba, Nigeria"
158,Targeted Killing in Imo,12/3/11,Imo,5,"Orlu, Imo, Nigeria"
159,Two Killed at A Wedding in Maiduguri,12/3/11,Borno,3,"Maiduguri, Borno, Nigeria"
160,100 Gunmen Attack Azare banks and police stations,12/4/11,Bauchi,7,"Katagum, Bauchi, Nigeria"
161,Port Harcourt Bank Attack,12/5/11,Rivers,6,"Port-Harcourt, Rivers, Nigeria"
162,"Three People Died,100 Injured As Community Clashes With Security Agents",12/6/11,Delta,3,"Isoko South, Delta, Nigeria"
163,Explosion in Kaduna,12/7/11,Kaduna,12,"Kaduna North, Kaduna, Nigeria"
164,Suspected Pirates Kill 3 Marine Corps in Bayelsa,12/9/11,Bayelsa,3,"Nembe, Bayelsa, Nigeria"
165,Explosion in Delta State Mosque,12/10/11,Delta,0,"Sapele, Delta, Nigeria"
166,"Three Explosions in Jos Kill One, Injure 14",12/10/11,Plateau,1,"Jos North, Plateau, Nigeria"
167,"Gunmen Kill One, Injure Two in Kaduna",12/11/11,Kaduna,1,"Kaura, Kaduna, Nigeria"
168,Gunmen Kill Three Soldiers in Borno,12/11/11,Borno,3,"Kukawa, Borno, Nigeria"
169,Arsonists Blow up Ikole INEC Office,12/12/11,Ekiti,0,"Ekiti, Ekiti, Nigeria"
170,Morning Suicide Explosion in Maiduguri,12/13/11,Borno,10,"Maiduguri, Borno, Nigeria"
171,"Bomb Explosion Kills two, injures others in Maiduguri",12/14/11,Borno,2,"Maiduguri, Borno, Nigeria"
172,Bomb Targets Military Checkpoint,12/14/11,Borno,0,"Maiduguri, Borno, Nigeria"
173,Gunmen Raid Airforce Secondary School in Kano,12/15/11,Kano,4,"Dawakin Tofa, Kano, Nigeria"
174,Gunmen Kill Police in northern city,12/16/11,Kano,2,"Kumbotso, Kano, Nigeria"
175,Three Die As Explosion Rocks Bomb Factory in Borno,12/17/11,Borno,3,"Maiduguri, Borno, Nigeria"
176,"Boko Haram, Police Shoot-Out - Seven Killed, 14 Arrested",12/18/11,Kano,8,"Kano Municipal, Kano, Nigeria"
177,"One Killed, 3 Others Injured in Illegal Bomb Factory",12/18/11,Kaduna,1,"Igabi, Kaduna, Nigeria"
178,"Bandits Bomb Police Station, Bank in Kogi",12/19/11,Kogi,2,"Ijumu, Kogi, Nigeria"
179,"Blast kills 1, injures 2 at bomb factory in Damaturu",12/19/11,Yobe,1,"Damaturu, Yobe, Nigeria"
180,Five feared dead as Fulani herdsmen invade Tiv communities,12/20/11,Taraba,6,"Takum, Taraba, Nigeria"
181,"Five Killed, Four Injured in Fresh Kaduna Attack",12/20/11,Kaduna,5,"Kaura, Kaduna, Nigeria"
182,"Gunmen Raid Three Banks in Kogi, Kill 10",12/20/11,Kogi,15,"Okene, Kogi, Nigeria"
183,Robbers Raid Ekiti Bank,12/21/11,Ekiti,1,"Ikole, Ekiti, Nigeria"
184,Blasts Rock Maiduguri,12/22/11,Borno,16,"Maiduguri, Borno, Nigeria"
185,Bomb Explosions in Potsikum,12/22/11,Yobe,7,"Potiskum, Yobe, Nigeria"
186,Explosion rocks Anambra monarch’s palace,12/22/11,Anambra,0,"Idemili North, Anambra, Nigeria"
187,Multiple Explosions Kill Four in Damaturu,12/22/11,Yobe,5,"Damaturu, Yobe, Nigeria"
188,"81 Killed As Boko Haram, Soldiers Clash",12/23/11,Yobe,81,"Damaturu, Yobe, Nigeria"
189,Adamawa Police Detonate Three Bombs in Mubi,12/23/11,Adamawa,0,"Mubi South, Adamawa, Nigeria"
190,Christmas Eve Bomb Attack in Gadaka,12/24/11,Yobe,0,"Fika, Yobe, Nigeria"
191,Christmas Blast at Church in Jos,12/25/11,Plateau,2,"Jos, Plateau, Nigeria"
192,Christmas Day Bomb Attacks kill over 35 in Madalla,12/25/11,Niger,35,"Suleja, Niger, Nigeria"
193,"Suicide Bomber Hits Yobe SSS HQ, Four Killed",12/25/11,Yobe,4,"Damaturu, Yobe, Nigeria"
194,"Miyetti Allah Chief, 11 Others Killed By Herders",12/26/11,Adamawa,11,", Adamawa, Nigeria"
195,Family of three killed in Plateau night attack,12/27/11,Plateau,3,"Riyom, Plateau, Nigeria"
196,Bomb At Arabic School in Southern Region Wounds Seven,12/28/11,Delta,0,"Sapele, Delta, Nigeria"
197,Bombers Attack Tunfure Resort in Gombe,12/29/11,Gombe,0,"Gombe, Gombe, Nigeria"
198,"Robbers Kill Three in Rivers, Steal N8 Million",12/29/11,Rivers,3,"Port-Harcourt, Rivers, Nigeria"
199,Four Killed as Blast Rocks Maiduguri Mosque,12/30/11,Borno,6,"Maiduguri, Borno, Nigeria"
200,Robbers kill 2 in Market after Mosque Bomb,12/30/11,Borno,3,"Maiduguri, Borno, Nigeria"
201,"Assassins Kill UBEC Boss, Royal Father in Kogi",12/31/11,Kogi,4,", Kogi, Nigeria"
202,East Nigeria Clashes Kill At Least 50,12/31/11,Ebonyi,60,"Ishielu, Ebonyi, Nigeria"
203,"Soldiers Shoot Driver, Woman in Maiduguri",1/1/12,Borno,2,"Maiduguri, Borno, Nigeria"
204,Damaturu Neighborhood Lead Assasinated,1/3/12,Yobe,1,"Damaturu, Yobe, Nigeria"
205,"Gunmen Attack Police Station, Kill 12 Year-Old Girl in Jigaw",1/3/12,Jigawa,1,"Biriniwa, Jigawa, Nigeria"
206,"Head of Shehuri, Maiduguri Shot Dead",1/3/12,Borno,1,"Maiduguri, Borno, Nigeria"
207,One Killed As Protests Spread,1/3/12,Kwara,2,", Kwara, Nigeria"
208,Bomb explosion rocks Damaturu drinking spot,1/4/12,Yobe,2,"Damaturu, Yobe, Nigeria"
209,Gun Battle in Dala town claims the 2 lives,1/4/12,Borno,2,"Maiduguri, Borno, Nigeria"
210,Gunmen kill two at Gombe relaxation spot,1/4/12,Gombe,2,"Gombe, Gombe, Nigeria"
211,Three Bombs Detonated In Maiduguri,1/4/12,Borno,0,"Maiduguri, Borno, Nigeria"
212,Gunmen Attack Church in Gombe,1/5/12,Gombe,9,"Gombe, Gombe, Nigeria"
213,Protester Killed in Kano,1/5/12,Kano,1,"Kano Municipal, Kano, Nigeria"
214,"Two Killed, Three Injured By Unidetified Gunmen in Mubi, Adamawa",1/5/12,Adamawa,4,"Mubi South, Adamawa, Nigeria"
215,"Boko Haram attacks church, kills 11 in Yola",1/6/12,Adamawa,16,"Yola South, Adamawa, Nigeria"
216,"Boko Haram Raid Banks in Potiskum, 2 dead",1/6/12,Yobe,2,"Potiskum, Yobe, Nigeria"
217,Gunmen Kill 10 in Mubi Attack,1/6/12,Adamawa,20,"Mubi South, Adamawa, Nigeria"
218,Over 50 Injured As Angry Youths Attack Muslims in Sapele,1/6/12,Delta,0,"Sapele, Delta, Nigeria"
219,Two university students shot dead by suspected Boko Haram,1/6/12,Borno,2,"Maiduguri, Borno, Nigeria"
220,Adamawa Killings Continue in Lamurde,1/7/12,Adamawa,4,"Lamurde, Adamawa, Nigeria"
221,"Christian Youths Protests Boko Haram’s Killings, As Soldiers Shoot Two In Adamawa",1/7/12,Adamawa,2,"Yola South, Adamawa, Nigeria"
222,"Nigerian police shoot protester dead in Lagos, wound 3",1/8/12,Lagos,3,"Agege, Lagos, Nigeria"
223,Policemen Kill Two Protesters in Kano,1/8/12,Kano,7,"Kano Municipal, Kano, Nigeria"
224,Mosque attacked in Benin City,1/9/12,Edo,0,"Oredo, Edo, Nigeria"
225,"One killed, two injured in Maiduguri market attack",1/9/12,Borno,3,"Maiduguri, Borno, Nigeria"
226,Police Kill 6 Protesters in Maiduguri,1/9/12,Borno,6,"Maiduguri, Borno, Nigeria"
227,"Three killed, several injured in Edo",1/9/12,Edo,3,"Oredo, Edo, Nigeria"
228,4 Protesters shot in Ogun State,1/10/12,Ogun,4,"Obafemi-Owode, Ogun, Nigeria"
229,"Attack on mosque, Quranic school",1/10/12,Edo,5,"Oredo, Edo, Nigeria"
230,Deadly Gun Attack on Bar in Yobe,1/10/12,Yobe,8,"Potiskum, Yobe, Nigeria"
231,One killed in Kaduna as protest turns violent,1/10/12,Kaduna,1,"Kaduna North, Kaduna, Nigeria"
232,Protester Cut to Death in Osun,1/10/12,Osun,1,"Osogbo, Osun, Nigeria"
233,"Police Kill Two, Injure Six in Niger State",1/11/12,Niger,2,"Gurara, Niger, Nigeria"
234,Unknown Gunmen Kill Three People in Fresh Attack,1/11/12,Bauchi,3,"Tafawa-Balewa, Bauchi, Nigeria"
235,Bomb Explosions in Jajeri Ward of Maiduguri,1/11/12,Borno,0,"Maiduguri, Borno, Nigeria"
236,Four Igbos Fleeing Maiduguri killed by Boko Haram,1/11/12,Yobe,4,"Potiskum, Yobe, Nigeria"
237,"One killed, three injured in Ebonyi communal clash",1/11/12,Ebonyi,1,"Ebonyi, Ebonyi, Nigeria"
238,"Protesters Kill Inspector, Burn INEC Office With 23 Vehicles",1/11/12,Niger,1,"Chanchaga, Niger, Nigeria"
239,"Mob kills 2, burns mosques in Adamawa village",1/12/12,Adamawa,2,"Numan, Adamawa, Nigeria"
240,"Police Kill One, Injure Many in Kogi Protest",1/12/12,Kogi,1,"Lokoja, Kogi, Nigeria"
241,Police shoot 2 more protesters in Kano,1/12/12,Kano,2,"Kano Municipal, Kano, Nigeria"
242,Attacks At Bars Leave Two Dead in Adamawa,1/13/12,Adamawa,2,"Yola South, Adamawa, Nigeria"
243,Gunmen Kill 2 Persons at Gombe Beer Parlour,1/13/12,Gombe,2,"Gombe, Gombe, Nigeria"
244,Gunmen kill one in Plateau,1/14/12,Plateau,1,"Riyom, Plateau, Nigeria"
245,"Gunmen Invade Homes, Kill Two in Maiduguri",1/16/12,Borno,2,"Maiduguri, Borno, Nigeria"
246,3 Chadians killed in Yobe,1/16/12,Yobe,3,"Damaturu, Yobe, Nigeria"
247,Police Corporal Gunned Down in Mubi,1/16/12,Adamawa,1,"Mubi South, Adamawa, Nigeria"
248,"Gunmen Kill Two, Soldiers Kill Four in Maiduguri",1/17/12,Borno,6,"Maiduguri, Borno, Nigeria"
249,JTFsoldier killed in Ogoni,1/17/12,Rivers,5,"Ogoni, Rivers, Nigeria"
250,Bomb Attempt At Senator's Residence,1/18/12,Gombe,0,"Gombe, Gombe, Nigeria"
251,Boko Haram Attacks Drinking Joint in Potiskum,1/20/12,Yobe,1,"Potiskum, Yobe, Nigeria"
252,"Boko Haram Bombs Kano, Kills Over 200",1/20/12,Kano,215,"Kano Municipal, Kano, Nigeria"
253,Bomb blasts in Bayelsa,1/21/12,Bayelsa,0,"Yenegoa, Bayelsa, Nigeria"
254,"Gunmen Attack Ex-Militant Leader’s Home In Bayelsa, Kill Policeman",1/21/12,Bayelsa,2,"Southern Ijaw, Bayelsa, Nigeria"
255,Army kills 3 MASSOB members in Onitsha,1/22/12,Anambra,3,"Onitsha North, Anambra, Nigeria"
256,"DSP, Army Corporal, Eight Others Killed As Explosions Rock Bauchi",1/22/12,Bauchi,12,"Tafawa-Balewa, Bauchi, Nigeria"
257,Four Boko Haram Suspects Shot Dead in Borno,1/22/12,Borno,4,"Maiduguri, Borno, Nigeria"
258,Gunmen Kill Court Registrar in Borno,1/22/12,Borno,1,"Maiduguri, Borno, Nigeria"
259,"Fresh Blasts, Gunfire Rock Kano",1/24/12,Kano,0,"Kano Municipal, Kano, Nigeria"
260,"Suspected Boko Haram Member, Wife Killed",1/24/12,Kano,2,"Kano Municipal, Kano, Nigeria"
261,Mob Lynches Cop for Killing Driver Over Bribe,1/25/12,Oyo,2,"Ibarapa North, Oyo, Nigeria"
