,Title,Date,State,Total Deaths,full place name
10593,Troops neutralize five armed bandits who shot seven family members dead in Benue,4/17/21,Benue,12,"Makurdi, Benue, Nigeria"
10594,"Gunmen kill Policeman in Taraba, attack another checkpoint",4/17/21,Taraba,1,"Takum, Taraba, Nigeria"
10595,Suspected Fulani herdsmen kill 11 in fresh attack on Benue Community,4/17/21,Benue,11,"GwerWest, Benue, Nigeria"
10596,Six Die As Rival Cult Groups Clash In Ekiti,4/17/21,Ekiti,6,"Ikere, Ekiti, Nigeria"
10597,Police kill six bandits in Niger,4/17/21,Niger,6,"Shiroro, Niger, Nigeria"
10598,Cult clash allegedly claim 6 lives in Akwa Ibom community,4/17/21,Akwa Ibom,6,"Uyo, Akwa Ibom, Nigeria"
10599,Three shot as gunmen invade village in Osun,4/18/21,Osun,0,"Obokun, Osun, Nigeria"
10600,Gunmen hijack bus with seven passengers in Rivers,4/18/21,Rivers,0,"Ogba/Egbe, Rivers, Nigeria"
10601,Army foils Boko Haram’s attempt to capture Borno community,4/18/21,Borno,20,"Dikwa, Borno, Nigeria"
10602,"Gunmen invade Akwa Ibom community, kill one",4/18/21,Akwa Ibom,1,"Itu, Akwa Ibom, Nigeria"
10603,Bandits Kill Three Locals In Two Kaduna LGs,4/18/21,Kaduna,1,"Kajuru, Kaduna, Nigeria"
10604,Bandits Kill Three Locals In Two Kaduna LGs,4/18/21,Kaduna,2,"Igabi, Kaduna, Nigeria"
10605,"Gunmen resume attack in Gombe, burn 50 houses, others",4/18/21,Gombe,0,"Balanga, Gombe, Nigeria"
10606,"Masked armed men kidnap two Fulani in Oke-Ogun, demand N10m, N3m ransom",4/16/21,Oyo,0,"Ibarapa North, Oyo, Nigeria"
10607,"73 missing, many displaced as gunmen attack Taraba community",4/16/21,Taraba,0,"Takum, Taraba, Nigeria"
10608,"Three bandits killed, AK47 rifles recovered in Katsina gun duel",4/19/21,Katsina,3,"Kankara, Katsina, Nigeria"
10609,"Five killed as police, gunmen clash in Anambra",4/19/21,Anambra,5,"Dunukofia, Anambra, Nigeria"
10610,Cultists kill four in Anambra,4/19/21,Anambra,4,"AwkaSout, Anambra, Nigeria"
10611,Gunmen raze police division in Abia,4/19/21,Abia,0,"Bende, Abia, Nigeria"
10612,"Bandits Kill Chief Imam, One Villager In Zamfara",4/19/21,Zamfara,2,"Zurmi, Zamfara, Nigeria"
10613,Two killed in Edo cult clash,4/17/21,Edo,1,"Oredo Edo, Edo, Nigeria"
10614,Two killed in Edo cult clash,4/19/21,Edo,1,"Oredo Edo, Edo, Nigeria"
10615,Two killed in Plateau cult clash,4/19/21,Plateau,2,"Jos North, Plateau, Nigeria"
10616,Bandits kill 10 as police gun down 30 hoodlums in Zamfara,4/19/21,Zamfara,40,"Maradun, Zamfara, Nigeria"
10617,"Four children, farmer abducted by suspected herdsmen in Oyo",4/19/21,Oyo,0,"Ibarapa North, Oyo, Nigeria"
10618,"Gunmen invade herders’ camp, shoot 1, kidnap other in Abuja",4/19/21,Federal Capital Territory,0,"Kwali, Federal Capital Territory, Nigeria"
10619,Gunmen Abduct Three Construction Workers In Ondo,4/20/21,Ondo,0,"AkokoNorthWest, Ondo, Nigeria"
10620,Hunter allegedly kills ‘herder’ in Ondo,4/20/21,Ondo,1,"Akoko South-East, Ondo, Nigeria"
10621,Bandits kill Amotekun operative in Oyo,4/20/21,Oyo,1,"Afijio, Oyo, Nigeria"
